Path,Action,Response,Params,Description,Summary,Tags
/api/swagger/,get,200,,,,-swagger-
/api/v1/delete_organization_inventory/,delete,204,,"Starts a background task to delete all properties & taxlots
in an org.

:DELETE: Expects 'org_id' for the organization.",Starts a background task to delete all properties & taxlots,-v1-
/api/v1/get_default_building_detail_columns/,get,200,,"Get default columns for building detail view.

front end is expecting a JSON object with an array of field names",Get default columns for building detail view.,-v1-
/api/v1/set_default_building_detail_columns/,post,201,,,,-v1-
/api/v1/set_default_columns/,post,201,,,,-v1-
/api/v2.1/portfolio_manager/report/,post,201,,"This API view makes a request to ESPM to generate and download a report based on a specific template.

:param request: A request with a POST body containing the ESPM credentials (username and password) as well as
a template key that contains one of the template objects retrieved using the /template_list/ endpoint
:return: This API responds with a JSON object with two keys: status, which will be a string -
either error or success.  If successful, a second key, properties, will hold the list of properties found in
this generated report.  If not successful, a second key, message, will include an error description that can be
presented on the UI.",This API view makes a request to ESPM to generate and download a report based on a specific template.,-v2.1-
/api/v2.1/portfolio_manager/template_list/,post,201,,"This API view makes a request to ESPM for the list of available report templates, including root templates and
child data requests.

:param request: A request with a POST body containing the ESPM credentials (username and password)
:return: This API responds with a JSON object with two keys: status, which will be a string -
either error or success.  If successful, a second key, templates, will hold the list of templates from ESPM. If
not successful, a second key, message, will include an error description that can be presented on the UI.","This API view makes a request to ESPM for the list of available report templates, including root templates and",-v2.1-
/api/v2.1/properties/,get,200,-page--per_page--identifier--address_line_1--cycle--property--cycle_start--cycle_end--analysis_state-,Return all Properties available to user through specified org.,Return all Properties available to user through specified org.,-v2.1-
/api/v2.1/properties/{id}/,get,200,-id--identifier--address_line_1--cycle--property--cycle_start--cycle_end--analysis_state-,Return a Property instance by pk if it is within specified org.,Return a Property instance by pk if it is within specified org.,-v2.1-
/api/v2.1/properties/{id}/building_sync/,get,200,-id-,"Return BuildingSync representation of the property

---",Return BuildingSync representation of the property,-v2.1-
/api/v2.1/properties/{id}/hpxml/,get,200,-id-,"Return HPXML representation of the property

---",Return HPXML representation of the property,-v2.1-
/api/v2.1/properties/{id}/update_with_building_sync/,put,200,-id--state--property--cycle--org_id-,"Does not work in Swagger!

Update an existing PropertyView with a building file. Currently only supports BuildingSync.
---",Does not work in Swagger!,-v2.1-
/api/v2.1/properties/{properties_pk}/notes/,get,200,-properties_pk-,"API endpoint for viewing and creating notes.

        Returns::
            [
                {
                    'id': Note's primary key
                    'name': Superfluous name,
                    'text': Note's text
                }
            ]

---",API endpoint for viewing and creating notes.,-v2.1-
/api/v2.1/properties/{properties_pk}/notes/,post,201,-properties_pk--data-,"API endpoint for viewing and creating notes.

        Returns::
            [
                {
                    'id': Note's primary key
                    'name': Superfluous name,
                    'text': Note's text
                }
            ]

---",API endpoint for viewing and creating notes.,-v2.1-
/api/v2.1/properties/{properties_pk}/notes/{id}/,get,200,-properties_pk--id-,"API endpoint for viewing and creating notes.

        Returns::
            [
                {
                    'id': Note's primary key
                    'name': Superfluous name,
                    'text': Note's text
                }
            ]

---",API endpoint for viewing and creating notes.,-v2.1-
/api/v2.1/properties/{properties_pk}/notes/{id}/,put,200,-properties_pk--id--data-,"API endpoint for viewing and creating notes.

        Returns::
            [
                {
                    'id': Note's primary key
                    'name': Superfluous name,
                    'text': Note's text
                }
            ]

---",API endpoint for viewing and creating notes.,-v2.1-
